"","MaternalLine","FlowerHead","PlantingDate","FirstLeafDate","TransplantDate","Id","Country","State","County","Latitude","Longitude","Locality","Location.Details","TemporaryID","Taxon","Area","Bed","Position.Spot","Inventory.Date","Status","Plant.Count","Planting.Material.Type","Source","Provenance","Property","Ipen","Restriction","Date.received","Quantity.received","Collector","Collection.Num","Collection.Date","Sampling.method","EO.ID","EO.number","Property.ownership","Notes.on.Habitat.and.soil","Mother.Plant.Maternal.Pop","Family","Seed.Lot..","Index.Seminum.Year"
"11","2023-0185-2","2","3/21/24","3/30/24","4/26/24",1290444,"United States","Indiana","Posey",37.824189,-88.003202,"Bonebank Rd.","From Mt. Vernon, Indiana, take US 69 South for approximately 6 miles and turn right on Bonebank Rd/County Rd 1100 S/Spencer Ditch Rd. Follow Bonebank Rd. for another 6 miles. Plants are along the right side of the road adjacent to a cypress slough.","15-2-9","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1041,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2023-0185","Project specific use only","2021-06-28T00:00:00","3180","Dell, Noah","","28 Jun 2021","","",1,"State","",NA,"Brassicaceae",NA,NA
"12","2021-1843-2","23","3/30/24","4/8/24","4/26/24",1290441,"United States","Kentucky","Franklin",38.210077,-84.885952,"Bald Knob","","20-5-3","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",262,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1843","Project specific use only","2021-07-22T00:00:00","1295","Rogers, Devin","","11 Jun 2021","Maternal Lines","",7,"Private","",NA,"Brassicaceae",NA,NA
"13","2021-1839-2","10","3/21/24","3/29/24","4/26/24",1290440,"United States","Tennessee","Cheatham",36.213903,-86.983695,"McMinn's Bluff #3","From Ashland City, take TN-12 south, take the first right onto River Trace that you can. Park close to the T-intersection, where the road is widest, and walk to both the right and left of the intersection. Plants can be found along the bluffs, and along the other side of the road above the railroad bed.","15-3-6","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",324,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1839","Project specific use only","2021-06-01T00:00:00","5793","Dell, Noah","","01 Jun 2021","Maternal Lines","10236",10,"Local/Public-County","Most plants along the steep gravel/talus slope to the right side of the T-intersection, where the slope is considerable, and the substrate loose and thin.",NA,"Brassicaceae",NA,NA
"14","2021-1838-2","8","3/25/24","4/3/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","19-1-6","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"15","2021-1841-1","5","3/20/24","3/28/24","4/26/24",1275505,"United States","Kentucky","Franklin",38.222717,-84.856916,"Cove Spring Park","","15-1-8","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",287,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1841","Project specific use only","2021-07-16T00:00:00","362","Powell, Emily","","05 Jul 2021","Maternal Lines","",18,"State","",NA,"Brassicaceae",NA,NA
"16","2018-1133-2","7","3/27/24","4/5/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","20-2-1","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"17","2021-1836-2","1","3/23/24","4/1/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","17-4-7","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"18","2023-0185-2","12","3/20/24","3/30/24","4/26/24",1290444,"United States","Indiana","Posey",37.824189,-88.003202,"Bonebank Rd.","From Mt. Vernon, Indiana, take US 69 South for approximately 6 miles and turn right on Bonebank Rd/County Rd 1100 S/Spencer Ditch Rd. Follow Bonebank Rd. for another 6 miles. Plants are along the right side of the road adjacent to a cypress slough.","15-1-2","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1041,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2023-0185","Project specific use only","2021-06-28T00:00:00","3180","Dell, Noah","","28 Jun 2021","","",1,"State","",NA,"Brassicaceae",NA,NA
"19","2018-1133-2","2","3/24/24","4/2/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","18-5-5","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"20","2021-1838-2","11","3/26/24","4/3/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","19-4-1","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"21","2021-0838-1","2","3/20/24","3/29/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","14-4-7","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"22","2018-1133-2","11","3/26/24","4/5/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","19-2-9","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"23","2021-1836-2","10","3/31/24","4/9/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-5-5","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"24","2018-1133-2","2","3/24/24","4/2/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","18-5-4","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"25","2021-1838-2","11","3/24/24","4/2/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","18-2-1","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"26","2021-1836-2","2","3/26/24","4/4/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","19-4-9","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"27","2021-0838-1","3","3/22/24","3/30/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","17-2-1","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"28","2021-1836-2","8","3/28/24","4/10/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-3-2","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"29","2021-1836-2","10","3/31/24","4/8/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-5-4","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"30","2021-1839-2","6","3/29/24","4/8/24","4/26/24",1290440,"United States","Tennessee","Cheatham",36.213903,-86.983695,"McMinn's Bluff #3","From Ashland City, take TN-12 south, take the first right onto River Trace that you can. Park close to the T-intersection, where the road is widest, and walk to both the right and left of the intersection. Plants can be found along the bluffs, and along the other side of the road above the railroad bed.","20-3-10","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",324,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1839","Project specific use only","2021-06-01T00:00:00","5793","Dell, Noah","","01 Jun 2021","Maternal Lines","10236",10,"Local/Public-County","Most plants along the steep gravel/talus slope to the right side of the T-intersection, where the slope is considerable, and the substrate loose and thin.",NA,"Brassicaceae",NA,NA
"31","2021-1836-2","9","3/31/24","4/12/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-5-11","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"32","2021-1836-2","5","3/29/24","4/7/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-4-2","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"33","2021-1836-2","2","3/26/24","4/2/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","19-4-10","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"34","2021-1836-2","1","3/29/24","4/5/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-3-5","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"35","2021-1838-2","16","3/24/24","4/1/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","18-2-10","Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
