"","MaternalLine","FlowerHead","PlantingDate","FirstLeafDate","TransplantDate","Id","Country","State","County","Latitude","Longitude","Locality","Location.Details","TemporaryID","Species","OriIndex","RanIndex","RanTray","TrayPosition","Pot","Date.1","Surv.1","numRos.1","numStem.1","stemDia.1","stemLength.1","numLeaf.1","leafLong.1","leafWide.1","flwrBud.1","flwrOpen.1","fruitPres.1","fruitDeh.1","Date.2","Surv.2","flwrBud.2","flwrOpen.2","fruitPres.2","fruitDeh.2","Date.3","Surv.3","leafLong.3","leafWide.3","flwrBud.3","flwrOpen.3","fruitPres.3","fruitDeh.3","Date.4","Surv.4","flwrBud.4","flwrOpen.4","fruitPres.4","fruitDeh.4","Date.5","Surv.5","flwrBud.5","flwrOpen.5","fruitPres.5","fruitDeh.5","Date.6","Surv.6","numFlowerStem.6","leafLong.6","leafWide.6","Date.7","flwrBud.7","flwrOpen.7","fruitPres.7","fruitDeh.7","Date.8","Surv.8","flwrBud.8","flwrOpen.8","fruitPres.8","fruitDeh.8","Date.9","Surv.9","flwrBud.9","flwrOpen.9","fruitPres.9","fruitDeh.9","Date.10","Surv.10","numFlowerStem.10","leafLong.10","leafWide.10","Date.11","Surv.11","flwrBud.11","flwrOpen.11","fruitPres.11","fruitDeh.11","Date.12","Surv.12","flwrBud.12","flwrOpen.12","fruitPres.12","fruitDeh.12","Date.13","Surv.13","flwrBud.13","flwrOpen.13","fruitPres.13","fruitDeh.13","Date.14","Surv.14","flwrBud.14","flwrOpen.14","fruitPres.14","fruitDeh.14","Date.15","Surv.15","flwrBud.15","flwrOpen.15","fruitPres.15","fruitDeh.15","Taxon","Area","Bed","Position.Spot","Inventory.Date","Status","Plant.Count","Planting.Material.Type","Source","Provenance","Property","Ipen","Restriction","Date.received","Quantity.received","Collector","Collection.Num","Collection.Date","Sampling.method","EO.ID","EO.number","Property.ownership","Notes.on.Habitat.and.soil","Mother.Plant.Maternal.Pop","Family","Seed.Lot..","Index.Seminum.Year"
"36","2021-1838-2","11","3/25/24","4/2/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","18-6-4","Physaria globosa",310,36,3,"T18R6C4",NA,"5/14/24","Y","0","1","1.45","6.6","19","6.8","3.1","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7","3.1","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.1","3.1","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7.5","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"37","2018-1133-2","10","3/21/24","3/30/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","15-5-2","Physaria globosa",95,37,4,"T15R5C2",NA,"5/14/24","Y","0","1","1.1","4.9","11","3.3","1.5","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","3.9","2.4","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","4.2","2.4","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","4.5","2.3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"38","2021-1838-2","9","3/26/24","4/3/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","19-4-8","Physaria globosa",359,38,4,"T19R4C8",NA,"5/14/24","Y","3","1","1.71","9.8","37","6.9","3","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.3","2.7","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.6","2.9","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7.3","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"39","2021-0838-1","4","3/20/24","3/29/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","14-4-9","Physaria globosa",31,39,4,"T14R4C9",NA,"5/14/24","Y","2","1","1.56","6.9","25","6.1","2.8","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.6","3.2","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.4","3.2","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7.4","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"40","2021-1841-1","5","3/20/24","3/28/24","4/26/24",1275505,"United States","Kentucky","Franklin",38.222717,-84.856916,"Cove Spring Park","","15-1-7","Physaria globosa",59,40,4,"T15R1C7",NA,"5/14/24","Y","3","1","1.2","4.7","12","4.3","1.9","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","5.1","2.1","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","5.3","2.2","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","5.5","2.3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",287,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1841","Project specific use only","2021-07-16T00:00:00","362","Powell, Emily","","05 Jul 2021","Maternal Lines","",18,"State","",NA,"Brassicaceae",NA,NA
"41","2021-1838-2","14","3/23/24","3/30/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","17-6-9","Physaria globosa",251,41,4,"T17R6C9",NA,"5/14/24","Y","0","1","1.12","3.8","34","3.2","1.8","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","4.2","2.2","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","4.5","1.9","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","4.5","2","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"42","2021-1838-2","5","3/23/24","3/29/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","17-5-4","Physaria globosa",234,42,4,"T17R5C4",NA,"5/14/24","Y","0","1","1.45","7.7","19","6.9","3.1","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.2","3","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.5","3.2","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7.5","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"43","2021-1839-2","10","3/28/24","4/4/24","4/26/24",1290440,"United States","Tennessee","Cheatham",36.213903,-86.983695,"McMinn's Bluff #3","From Ashland City, take TN-12 south, take the first right onto River Trace that you can. Park close to the T-intersection, where the road is widest, and walk to both the right and left of the intersection. Plants can be found along the bluffs, and along the other side of the road above the railroad bed.","20-2-6","Physaria globosa",402,43,4,"T20R2C6",NA,"5/14/24","Y","0","1","1.24","10","19","5.1","2.9","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.6","2.8","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","8.1","2.8","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7.7","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",324,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1839","Project specific use only","2021-06-01T00:00:00","5793","Dell, Noah","","01 Jun 2021","Maternal Lines","10236",10,"Local/Public-County","Most plants along the steep gravel/talus slope to the right side of the T-intersection, where the slope is considerable, and the substrate loose and thin.",NA,"Brassicaceae",NA,NA
"44","2021-0838-1","7","3/24/24","4/3/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","18-5-9","Physaria globosa",303,44,4,"T18R5C9",NA,"5/14/24","Y","2","1","1.64","6.8","40","6.6","2.6","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.4","2.6","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.7","2.6","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7","2.5","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"45","2021-0838-1","3","3/21/24","3/30/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","16-3-2","Physaria globosa",140,45,4,"T16R3C2",NA,"5/14/24","Y","2","1","1.29","4.4","13","5","2.4","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","5.9","2.8","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.3","2.8","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6","2.8","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"46","2021-0838-1","7","3/25/24","4/2/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","19-1-2","Physaria globosa",320,46,4,"T19R1C2",NA,"5/14/24","Y","2","1","1.75","8.6","61","6.9","3","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.4","3","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.1","3.1","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.5","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"47","2021-1838-2","18","3/23/24","3/29/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","17-6-6","Physaria globosa",248,47,4,"T17R6C6",NA,"5/14/24","Y","2","1","1.27","8.2","26","5.2","2.6","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","6.4","3","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7","3.1","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.5","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"48","2018-1133-2","14","3/25/24","4/2/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","18-5-10","Physaria globosa",304,48,4,"T18R5C10",NA,"5/14/24","Y","0","1","1.63","6.6","26","7.1","2.7","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.5","2.8","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.6","2.7","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7.5","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"49","2021-1836-2","5","3/29/24","4/9/24","4/26/24",1290385,"United States","Tennessee","Cheatham",36.1432,-87.0232,"Unknown","From Ashland City, drive south on TN-12 and then turn SW (R) onto Thompson Rd. Follow Thompson Rd. past the railroad tracks and park in front of the recycling center. Walk onto the railroad tracks from this spot and then head NW (L) past the abandoned railroad cars, careful to stay on the RR right-of-way and not the farmer's property. Plants will be visible along the talus slope after ~.5 km and extend for approximately 300 meters.","20-4-1","Physaria globosa",419,49,5,"T20R4C1",NA,"5/14/24","Y","0","1","0.85","3.3","11","3.5","1.8","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.1","3.2","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.7","3","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.7","3","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1616,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1836","Project specific use only","2021-06-01T00:00:00","3617","Dell, Noah","","01 Jun 2021","Maternal Lines","6678",1,"Local/Public-County","Most plants were found along the railroad bed in a talus slope adjacent to private property. Habitat was previously continuously disturbed due to railroad maintenance, but now is somewhat overgrown with vegetation.",NA,"Brassicaceae",NA,NA
"50","2021-0838-1","10","3/22/24","3/30/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","17-1-2","Physaria globosa",184,50,5,"T17R1C2",NA,"5/14/24","Y","3","1","1.2","3.6","21","5.9","2.6","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","6.5","2.7","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.2","2.6","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.7","2.5","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"51","2021-1838-2","16","3/23/24","3/30/24","4/26/24",1290386,"United States","Tennessee","Davidson",36.20801,-86.960244,"McMinn's Bluff","From Ashland City, head south on TN-12. Turn right at the second entrance to River Trace and park near the top of the hill just before the road goes downhill, where the road is wider. The plants are scattered along the roadside, the bluffs above the road, and by the abandoned railroad tracks at the bottom of the hill.","17-5-10","Physaria globosa",240,51,5,"T17R5C10",NA,"5/14/24","Y","4","1","1.19","5.5","45","4.7","2.4","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","6.2","2.7","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.3","2.8","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.3","2.8","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",980,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-1838","Project specific use only","2021-06-01T00:00:00","571","Dell, Noah","","01 Jun 2021","Maternal Lines","5386",4,"Local/Public-County","",NA,"Brassicaceae",NA,NA
"52","2021-0838-1","3","3/21/24","3/30/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","16-3-5","Physaria globosa",143,52,5,"T16R3C5",NA,"5/14/24","Y","1","1","1.79","5.2","28","5.5","2.6","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","6.8","3","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","7.1","3","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.2","2.8","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
"53","2018-1133-2","7","3/23/24","4/1/24","4/26/24",1248014,"United States","Tennessee","Trousdale",36.37351,-86.17156,"TN - EO#3 - Hartsville Access","From Hartsville: Head South on Hwy 141, continue left onto Cemetery Ln. and follow until reaching the Hartsville Access Area. Follow river nearly to bridge, most plants will be near the bank of the river, to about 15 to 20 meters uphill.","17-3-12","Physaria globosa",218,53,5,"T17R3C12",NA,"5/14/24","Y","2","1","1.39","7.2","32","5.9","2.5","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","6.6","2.3","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.9","2.6","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","7","2.8","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",1008,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2018-1133","Project specific use only","2018-06-05T00:00:00","3,570","Dell, Noah","","05 Jun 2018","","13344",3,"Federal-Other","Dry woods and banks along Cumberland River",NA,"Brassicaceae",NA,NA
"54","2021-0838-1","7","3/24/24","4/2/24","4/26/24",1271397,"United States","Tennessee","Montgomery",36.501393,-87.318045,"","","18-5-7","Physaria globosa",301,54,5,"T18R5C7",NA,"5/14/24","Y","1","1","1.71","8.4","31","6","2.5","N ","N ","N ","N ","5/21/24","Y","N","N","N","N","5/28/24","Y","7.3","2.8","0","0","N","N","5/31/24","Y",0,0,"N","N","6/3/24","Y",0,0,0,0,"6/4/24","Y","0","6.8","2.7","6/5/24","0","0","0","0","6/7/24","Y",0,0,0,0,"6/10/24","Y",0,0,0,0,"6/11/24","Y","0","6.3","2.9","6/12/24","Y","0","0","0","0","6/14/24","Y",0,0,0,0,"6/17/24","Y",0,0,0,0,"6/19/24","Y",0,0,0,0,"6/24/24","Y",0,0,0,0,"Physaria globosa ","MBG Seed Bank","CCSD Seed Bank Freezer",NA,"2023-12-01T00:00:00","Dormant",951,"Seed","Missouri Botanical Garden","Wild","Shaw Nature Reserve","US-1-MO-2021-0838","Project specific use only","2019-06-05T00:00:00","1498","Dell, Noah","","05 Jun 2019","","11124",12,"Private","",NA,"Brassicaceae",NA,NA
